"Job","User","Project","Host Name","Partition","QOS","Submit","Start","End","Wait Time","Elapsed Secs","CPUs","Nodes Allocated","Hours Charged","Raw Hours","Machine Hours"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-11 14:23:55","2020-09-11 14:24:03","2020-09-11 14:24:28","8","25","2048","32","31.11111111111111","0.2222222222222222","31.11111111111111"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-11 14:43:38","2020-09-11 14:43:51","2020-09-11 14:44:39","13","48","2048","32","59.733333333333334","0.4266666666666667","59.733333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-11 14:55:02","2020-09-11 14:55:12","2020-09-11 14:55:47","10","35","2048","32","43.55555555555556","0.3111111111111111","43.55555555555556"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-11 14:56:54","2020-09-11 14:57:06","2020-09-11 14:57:45","12","39","2048","32","48.53333333333333","0.3466666666666667","48.53333333333333"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-11 15:00:57","2020-09-11 15:01:10","2020-09-11 15:01:37","13","27","2048","32","33.6","0.24","33.6"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-11 15:22:37","2020-09-11 15:22:47","2020-09-11 15:26:28","10","221","2048","32","275.02222222222224","1.9644444444444444","275.02222222222224"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-11 16:53:34","2020-09-11 16:53:42","2020-09-11 16:54:11","8","29","2048","32","36.08888888888889","0.2577777777777778","36.08888888888889"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-13 22:14:22","2020-09-13 22:14:22","2020-09-13 22:28:10","0","828","64","1","32.2","0.23","32.2"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-13 22:30:47","2020-09-13 22:30:47","2020-09-13 22:37:00","0","373","64","1","14.505555555555556","0.10361111111111111","14.505555555555556"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-13 22:40:42","2020-09-13 22:40:42","2020-09-13 22:41:55","0","73","64","1","2.838888888888889","0.020277777777777777","2.838888888888889"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 09:19:27","2020-09-14 09:19:34","2020-09-14 09:21:47","7","133","1920","30","155.16666666666666","1.1083333333333334","155.16666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 09:26:57","2020-09-14 09:26:57","2020-09-14 09:57:01","0","1804","64","1","70.15555555555555","0.5011111111111111","70.15555555555555"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 09:50:49","2020-09-14 09:51:20","2020-09-14 09:53:22","31","122","1920","30","142.33333333333334","1.0166666666666666","142.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 09:57:18","2020-09-14 09:57:18","2020-09-14 10:27:29","0","1811","64","1","70.42777777777778","0.5030555555555556","70.42777777777778"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:06","2020-09-14 10:26:19","2020-09-14 10:28:21","13","122","1920","30","142.33333333333334","1.0166666666666666","142.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:13","2020-09-14 10:29:00","2020-09-14 10:31:04","167","124","1920","30","144.66666666666666","1.0333333333333334","144.66666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:20","2020-09-14 10:31:53","2020-09-14 10:34:55","333","182","1920","30","212.33333333333334","1.5166666666666666","212.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:24","2020-09-14 10:35:06","2020-09-14 10:36:57","522","111","1920","30","129.5","0.925","129.5"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:26","2020-09-14 10:37:35","2020-09-14 10:39:55","669","140","1920","30","163.33333333333334","1.1666666666666667","163.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:29","2020-09-14 10:40:01","2020-09-14 10:41:58","812","117","1920","30","136.5","0.975","136.5"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:30","2020-09-14 10:42:36","2020-09-14 10:44:41","966","125","1920","30","145.83333333333334","1.0416666666666667","145.83333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:31","2020-09-14 10:45:13","2020-09-14 10:49:00","1122","227","1920","30","264.8333333333333","1.8916666666666666","264.8333333333333"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:32","2020-09-14 10:49:32","2020-09-14 10:51:32","1380","120","1920","30","140","1","140"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:33","2020-09-14 10:52:05","2020-09-14 10:54:22","1532","137","1920","30","159.83333333333334","1.1416666666666666","159.83333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:34","2020-09-14 10:54:56","2020-09-14 10:57:05","1702","129","1920","30","150.5","1.075","150.5"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:35","2020-09-14 10:57:36","2020-09-14 10:59:43","1861","127","1920","30","148.16666666666666","1.0583333333333333","148.16666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:26:36","2020-09-14 11:00:48","2020-09-14 11:04:58","2052","250","1920","30","291.6666666666667","2.0833333333333335","291.6666666666667"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:45:50","2020-09-14 10:47:44","2020-09-14 10:49:10","114","86","64","1","3.3444444444444446","0.02388888888888889","3.3444444444444446"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 10:49:34","2020-09-14 10:49:46","2020-09-14 11:15:23","12","1537","64","1","59.772222222222226","0.42694444444444446","59.772222222222226"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 11:15:31","2020-09-14 11:15:31","2020-09-14 11:23:10","0","459","64","1","17.85","0.1275","17.85"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 13:05:36","2020-09-14 13:05:43","2020-09-14 13:07:33","7","110","1920","30","128.33333333333334","0.9166666666666666","128.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 13:56:34","2020-09-14 13:56:47","2020-09-14 13:59:11","13","144","1920","30","168","1.2","168"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 13:56:37","2020-09-14 13:59:52","2020-09-14 14:02:06","195","134","1920","30","156.33333333333334","1.1166666666666667","156.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 13:56:41","2020-09-14 14:02:17","2020-09-14 14:04:26","336","129","1920","30","150.5","1.075","150.5"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 13:56:46","2020-09-14 14:04:59","2020-09-14 14:06:50","493","111","1920","30","129.5","0.925","129.5"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 14:00:04","2020-09-14 14:07:15","2020-09-14 14:09:53","431","158","1920","30","184.33333333333334","1.3166666666666667","184.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 14:00:10","2020-09-14 14:09:59","2020-09-14 14:12:18","589","139","1920","30","162.16666666666666","1.1583333333333334","162.16666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 14:00:13","2020-09-14 14:12:53","2020-09-14 14:16:15","760","202","1920","30","235.66666666666666","1.6833333333333333","235.66666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 14:00:16","2020-09-14 14:17:17","2020-09-14 14:23:28","1021","371","1920","30","432.8333333333333","3.091666666666667","432.8333333333333"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 14:00:17","2020-09-14 14:24:04","2020-09-14 14:26:42","1427","158","1920","30","184.33333333333334","1.3166666666666667","184.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 14:00:18","2020-09-14 14:26:51","2020-09-14 14:30:06","1593","195","1920","30","227.5","1.625","227.5"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 14:00:20","2020-09-14 14:30:12","2020-09-14 14:32:36","1792","144","1920","30","168","1.2","168"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 14:00:22","2020-09-14 14:32:42","2020-09-14 14:35:27","1940","165","1920","30","192.5","1.375","192.5"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 14:00:24","2020-09-14 14:36:03","2020-09-14 14:37:58","2139","115","1920","30","134.16666666666666","0.9583333333333334","134.16666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 14:00:25","2020-09-14 14:38:35","2020-09-14 14:40:49","2290","134","1920","30","156.33333333333334","1.1166666666666667","156.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 14:44:49","2020-09-14 14:44:57","2020-09-14 14:44:58","8","1","1920","30","1.1666666666666667","0.008333333333333333","1.1666666666666667"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 15:07:08","2020-09-14 15:07:18","2020-09-14 15:09:21","10","123","1920","30","143.5","1.025","143.5"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 15:18:13","2020-09-14 15:18:56","2020-09-14 15:21:10","43","134","1920","30","156.33333333333334","1.1166666666666667","156.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 16:01:29","2020-09-14 16:01:40","2020-09-14 16:04:19","11","159","1920","30","185.5","1.325","185.5"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 16:18:04","2020-09-14 16:24:16","2020-09-14 16:26:42","372","146","1920","30","170.33333333333334","1.2166666666666666","170.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 16:45:58","2020-09-14 16:46:10","2020-09-14 16:47:41","12","91","1920","30","106.16666666666667","0.7583333333333333","106.16666666666667"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 16:46:03","2020-09-14 16:48:05","2020-09-14 16:49:45","122","100","1920","30","116.66666666666667","0.8333333333333334","116.66666666666667"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 16:46:07","2020-09-14 16:49:51","2020-09-14 16:51:58","224","127","1920","30","148.16666666666666","1.0583333333333333","148.16666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 16:52:51","2020-09-14 16:52:51","2020-09-14 17:00:17","0","446","64","1","17.344444444444445","0.1238888888888889","17.344444444444445"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:02:38","2020-09-14 17:02:50","2020-09-14 17:05:05","12","135","1920","30","157.5","1.125","157.5"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:02:39","2020-09-14 17:05:46","2020-09-14 17:08:49","187","183","1920","30","213.5","1.525","213.5"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:02:40","2020-09-14 17:08:58","2020-09-14 17:11:10","378","132","1920","30","154","1.1","154"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:02:45","2020-09-14 17:11:53","2020-09-14 17:13:55","548","122","1920","30","142.33333333333334","1.0166666666666666","142.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:02:59","2020-09-14 17:13:59","2020-09-14 17:16:43","660","164","1920","30","191.33333333333334","1.3666666666666667","191.33333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:03:03","2020-09-14 17:17:15","2020-09-14 17:18:49","852","94","1920","30","109.66666666666667","0.7833333333333333","109.66666666666667"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:03:06","2020-09-14 17:19:24","2020-09-14 17:20:58","978","94","1920","30","109.66666666666667","0.7833333333333333","109.66666666666667"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:03:07","2020-09-14 17:21:32","2020-09-14 17:23:39","1105","127","1920","30","148.16666666666666","1.0583333333333333","148.16666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:24:56","2020-09-14 17:24:56","2020-09-14 17:28:11","0","195","64","1","7.583333333333333","0.05416666666666667","7.583333333333333"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:30:41","2020-09-14 17:30:41","2020-09-14 17:31:49","0","68","64","1","2.6444444444444444","0.01888888888888889","2.6444444444444444"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:32:48","2020-09-14 17:32:48","2020-09-14 17:33:34","0","46","64","1","1.788888888888889","0.012777777777777779","1.788888888888889"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:35:49","2020-09-14 17:35:49","2020-09-14 17:37:23","0","94","64","1","3.6555555555555554","0.026111111111111113","3.6555555555555554"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:37:53","2020-09-14 17:37:53","2020-09-14 17:38:38","0","45","64","1","1.75","0.0125","1.75"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:39:46","2020-09-14 17:39:46","2020-09-14 17:44:12","0","266","64","1","10.344444444444445","0.07388888888888889","10.344444444444445"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:47:01","2020-09-14 17:47:01","2020-09-14 17:50:10","0","189","64","1","7.35","0.0525","7.35"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 17:58:11","2020-09-14 17:58:11","2020-09-14 18:01:15","0","184","64","1","7.155555555555556","0.051111111111111114","7.155555555555556"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 19:41:05","2020-09-14 19:41:18","2020-09-14 19:42:38","13","80","1920","30","93.33333333333333","0.6666666666666666","93.33333333333333"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 19:44:06","2020-09-14 19:44:15","2020-09-14 19:46:52","9","157","1920","30","183.16666666666666","1.3083333333333333","183.16666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 19:44:09","2020-09-14 19:47:25","2020-09-14 19:49:54","196","149","1920","30","173.83333333333334","1.2416666666666667","173.83333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 19:44:12","2020-09-14 19:50:03","2020-09-14 19:52:14","351","131","1920","30","152.83333333333334","1.0916666666666666","152.83333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 19:55:46","2020-09-14 19:55:59","2020-09-14 19:58:39","13","160","1920","30","186.66666666666666","1.3333333333333333","186.66666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 20:02:11","2020-09-14 20:02:21","2020-09-14 20:05:09","10","168","1920","30","196","1.4","196"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 20:02:12","2020-09-14 20:05:46","2020-09-14 20:08:51","214","185","1920","30","215.83333333333334","1.5416666666666667","215.83333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 20:02:15","2020-09-14 20:09:24","2020-09-14 20:13:18","429","234","1920","30","273","1.95","273"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 20:02:16","2020-09-14 20:13:24","2020-09-14 20:16:19","668","175","1920","30","204.16666666666666","1.4583333333333333","204.16666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 20:02:19","2020-09-14 20:16:27","2020-09-14 20:26:44","848","617","1920","30","719.8333333333334","5.141666666666667","719.8333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 20:02:22","2020-09-14 20:26:53","2020-09-14 20:29:36","1471","163","1920","30","190.16666666666666","1.3583333333333334","190.16666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 20:27:27","2020-09-14 20:30:12","2020-09-14 20:32:43","165","151","1920","30","176.16666666666666","1.2583333333333333","176.16666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 20:44:51","2020-09-14 20:44:51","2020-09-14 20:48:04","0","193","64","1","7.5055555555555555","0.05361111111111111","7.5055555555555555"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:00:55","2020-09-14 21:00:55","2020-09-14 21:16:10","0","915","64","1","35.583333333333336","0.25416666666666665","35.583333333333336"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:27:29","2020-09-14 21:27:40","2020-09-14 21:33:04","11","324","512","8","100.8","0.72","100.8"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:27:33","2020-09-14 21:27:51","2020-09-14 21:32:53","18","302","512","8","93.95555555555555","0.6711111111111111","93.95555555555555"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:27:36","2020-09-14 21:27:51","2020-09-14 21:35:18","15","447","512","8","139.06666666666666","0.9933333333333333","139.06666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:27:37","2020-09-14 21:27:52","2020-09-14 21:32:37","15","285","512","8","88.66666666666667","0.6333333333333333","88.66666666666667"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:27:42","2020-09-14 21:32:58","2020-09-14 21:39:07","316","369","512","8","114.8","0.82","114.8"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:27:47","2020-09-14 21:33:08","2020-09-14 21:38:14","321","306","512","8","95.2","0.68","95.2"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:27:48","2020-09-14 21:34:22","2020-09-14 21:39:21","394","299","512","8","93.02222222222223","0.6644444444444444","93.02222222222223"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:28:21","2020-09-14 21:36:14","2020-09-14 21:47:29","473","675","512","8","210","1.5","210"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:28:24","2020-09-14 21:38:18","2020-09-14 21:43:43","594","325","512","8","101.11111111111111","0.7222222222222222","101.11111111111111"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:28:27","2020-09-14 21:39:34","2020-09-14 21:46:01","667","387","512","8","120.4","0.86","120.4"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:28:28","2020-09-14 21:40:52","2020-09-14 21:45:55","744","303","512","8","94.26666666666667","0.6733333333333333","94.26666666666667"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:29:02","2020-09-14 21:43:50","2020-09-14 21:48:59","888","309","512","8","96.13333333333334","0.6866666666666666","96.13333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:29:05","2020-09-14 21:46:06","2020-09-14 21:58:06","1021","720","512","8","224","1.6","224"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:29:51","2020-09-14 21:46:23","2020-09-14 21:52:56","992","393","512","8","122.26666666666667","0.8733333333333333","122.26666666666667"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:29:55","2020-09-14 21:47:39","2020-09-14 21:53:35","1064","356","512","8","110.75555555555556","0.7911111111111111","110.75555555555556"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:29:58","2020-09-14 21:49:08","2020-09-14 21:54:40","1150","332","512","8","103.28888888888889","0.7377777777777778","103.28888888888889"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:29:59","2020-09-14 21:53:03","2020-09-14 22:00:41","1384","458","512","8","142.48888888888888","1.0177777777777777","142.48888888888888"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:02","2020-09-14 21:53:45","2020-09-14 22:00:31","1423","406","512","8","126.31111111111112","0.9022222222222223","126.31111111111112"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:05","2020-09-14 21:54:42","2020-09-14 22:00:41","1477","359","512","8","111.68888888888888","0.7977777777777778","111.68888888888888"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:06","2020-09-14 21:59:34","2020-09-14 22:06:24","1768","410","512","8","127.55555555555556","0.9111111111111111","127.55555555555556"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:08","2020-09-14 22:00:37","2020-09-14 22:08:04","1829","447","512","8","139.06666666666666","0.9933333333333333","139.06666666666666"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:09","2020-09-14 22:00:44","2020-09-14 22:06:02","1835","318","512","8","98.93333333333334","0.7066666666666667","98.93333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:10","2020-09-14 22:01:58","2020-09-14 22:07:51","1908","353","512","8","109.82222222222222","0.7844444444444445","109.82222222222222"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:14","2020-09-14 22:06:09","2020-09-14 22:15:17","2155","548","512","8","170.48888888888888","1.2177777777777778","170.48888888888888"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:17","2020-09-14 22:07:01","2020-09-14 22:11:51","2204","290","512","8","90.22222222222223","0.6444444444444445","90.22222222222223"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:19","2020-09-14 22:08:00","2020-09-14 22:12:21","2261","261","512","8","81.2","0.58","81.2"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:20","2020-09-14 22:08:12","2020-09-14 22:09:45","2272","93","512","8","28.933333333333334","0.20666666666666667","28.933333333333334"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:22","2020-09-14 22:10:28","2020-09-14 22:16:24","2406","356","512","8","110.75555555555556","0.7911111111111111","110.75555555555556"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:23","2020-09-14 22:12:28","2020-09-14 22:17:50","2525","322","512","8","100.17777777777778","0.7155555555555555","100.17777777777778"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:26","2020-09-14 22:12:32","2020-09-14 22:19:13","2526","401","512","8","124.75555555555556","0.8911111111111111","124.75555555555556"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:27","2020-09-14 22:15:24","2020-09-14 22:20:57","2697","333","512","8","103.6","0.74","103.6"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:28","2020-09-14 22:16:28","2020-09-14 22:22:01","2760","333","512","8","103.6","0.74","103.6"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:33","2020-09-14 22:18:02","2020-09-14 22:20:45","2849","163","512","8","50.71111111111111","0.3622222222222222","50.71111111111111"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:36","2020-09-14 22:20:03","2020-09-14 22:25:44","2967","341","512","8","106.08888888888889","0.7577777777777778","106.08888888888889"
"","Paley, Daniel","lcls","cori haswell","resv","resv","2020-09-14 21:30:40","2020-09-14 22:20:56","2020-09-14 22:26:11","3016","315","512","8","98","0.7","98"
